NMFS_DNA_ID,BOX_ID,BOX_POSITION,SAMPLE_ID,TK,BATCH_ID,PROJECT_NAME,GENUS,SPECIES,LENGTH,WEIGHT,SEX,AGE,REPORTED_LIFE_STAGE,PHENOTYPE,HATCHERY_MARK,TAG_NUMBER,COLLECTION_DATE,ESTIMATED_DATE,PICKER,PICK_DATE,LEFTOVER_SAMPLE,SAMPLE_COMMENTS,NMFS_DNA_ID,STATE_F,COUNTY_F,WATERSHED,TRIB_1,TRIB_2,WATER_NAME,REACH_SITE,HATCHERY,STRAIN,LATITUDE_F,LONGITUDE_F,LOCATION_COMMENTS_F,NMFS_DNA_ID,SNPplate,Plate_POS,BOX_ID,DilPlate,SNPplateorder,SNPorder,DilSampleOrder,DNAbox,DNABoxSampleOrder,CONCAT_ID,Omy_AldA,Omy_AldA,SexID,SexID,SH95489-423,SH95489-423,SH100771-63,SH100771-63
M035133,M351,5B,DC-052306-12,DC05230612,3038,Big Creek Gender ID,Oncorhynchus,mykiss,145,33,,,,,,140738839,5/23/06,,AC,7/9/09,,"Gender ID samples, Notes: M-R, T/S, very silvery1354",M035133,California,Monterey,Big Creek,,,Devil's Creek,,,,,,Running distance from bottom of reach: 25m,M035133,MKL,5B,M351,MKL,5B,15,34,M351,34,MKL_M351_5B,3,4,6,6,3,3,4,1
M035134,M351,5C,DC-052306-13,DC05230613,3038,Big Creek Gender ID,Oncorhynchus,mykiss,46,1.1,,,,,,,5/23/06,,AC,7/9/09,,"Gender ID samples, Notes: M-R, T, Database number: 227",M035134,California,Monterey,Big Creek,,,Devil's Creek,,,,,,Running distance from bottom of reach: 75m,M035134,MKL,5C,M351,MKL,5C,27,35,M351,35,MKL_M351_5C,3,4,7,6,0,0,4,4
M035135,M351,5D,DC-052306-18,DC05230618,3038,Big Creek Gender ID,Oncorhynchus,mykiss,57,1.1,,,,,,,5/23/06,,AC,7/9/09,,"Gender ID samples, Notes: M-R, T, Database number: 231",M035135,California,Monterey,Big Creek,,,Devil's Creek,,,,,,Running distance from bottom of reach: 125m,M035135,MKL,5D,M351,MKL,5D,39,36,M351,36,MKL_M351_5D,0,0,0,0,0,0,0,0
M035136,M351,5E,DC-052306-20,DC05230620,3038,Big Creek Gender ID,Oncorhynchus,mykiss,196,90.2,,,,,,140738842,5/23/06,,AC,7/9/09,,"Gender ID samples, Notes: M-R, T/S, Database number: 1356",M035136,California,Monterey,Big Creek,,,Devil's Creek,,,,,,Running distance from bottom of reach: 125m,M035136,MKL,5E,M351,MKL,5E,51,37,M351,37,MKL_M351_5E,3,4,7,6,3,1,4,4
M035137,M351,5F,DC-052306-29,DC05230629,3038,Big Creek Gender ID,Oncorhynchus,mykiss,173,60.9,,,,,,138620521,5/23/06,,AC,7/9/09,,"Gender ID samples, Notes: M-R, T/S, Database number: 966",M035137,California,Monterey,Big Creek,,,Devil's Creek,,,,,,Running distance from bottom of reach: 200m,M035137,MKL,5F,M351,MKL,5F,63,38,M351,38,MKL_M351_5F,3,4,7,6,3,1,4,4
M035138,M351,5G,DC-052306-31,DC05230631,3038,Big Creek Gender ID,Oncorhynchus,mykiss,59,2.5,,,,,,,5/23/06,,AC,7/9/09,,"Gender ID samples, Notes: M-R, T, Database number: 238",M035138,California,Monterey,Big Creek,,,Devil's Creek,,,,,,Running distance from bottom of reach: 225m,M035138,MKL,5G,M351,MKL,5G,75,39,M351,39,MKL_M351_5G,4,4,6,6,3,1,1,1
M035139,M351,5H,DC-052306-35,DC05230635,3038,Big Creek Gender ID,Oncorhynchus,mykiss,172,62.2,,,,,,138620013,5/23/06,,AC,7/9/09,,"Gender ID samples, Notes: M-R, T, Database number: 476",M035139,California,Monterey,Big Creek,,,Devil's Creek,,,,,,Running distance from bottom of reach: 225m,M035139,MKL,5H,M351,MKL,5H,87,40,M351,40,MKL_M351_5H,3,4,7,6,3,1,4,4
M035140,M351,6A,DC-052306-36,DC05230636,3038,Big Creek Gender ID,Oncorhynchus,mykiss,98,13.1,,,,,,9.82009E+14,5/23/06,,AC,7/9/09,,"Gender ID samples, Notes: M-R, T, Database number: 2588",M035140,California,Monterey,Big Creek,,,Devil's Creek,,,,,,Running distance from bottom of reach: 225m,M035140,MKL,6A,M351,MKL,6A,5,41,M351,41,MKL_M351_6A,4,4,6,6,3,3,4,1
M035141,M351,6B,DC-052306-32,DC05230632,3038,Big Creek Gender ID,Oncorhynchus,mykiss,90,9.1,,,,,,9.82009E+14,5/23/06,,AC,7/9/09,,"Gender ID samples, Notes: M-R, T/S, Database number: 3515",M035141,California,Monterey,Big Creek,,,Devil's Creek,,,,,,Running distance from bottom of reach: 225m,M035141,MKL,6B,M351,MKL,6B,16,42,M351,42,MKL_M351_6B,3,4,6,6,3,1,4,1
M035142,M351,6C,DC-052306-41,DC05230641,3038,Big Creek Gender ID,Oncorhynchus,mykiss,110,17.1,,,,,,140738838,5/23/06,,AC,7/9/09,,"Gender ID samples, Notes: M-R, T/S, Database number: 1353",M035142,California,Monterey,Big Creek,,,Devil's Creek,,,,,,Running distance from bottom of reach: 225m,M035142,MKL,6C,M351,MKL,6C,28,43,M351,43,MKL_M351_6C,4,4,6,6,1,1,4,4
M035143,M351,6D,DC-052306-43,DC05230643,3038,Big Creek Gender ID,Oncorhynchus,mykiss,107,15.2,,,,,,140738845,5/23/06,,AC,7/9/09,,"Gender ID samples, Notes: M-R, T/S, Database number: 1359",M035143,California,Monterey,Big Creek,,,Devil's Creek,,,,,,Running distance from bottom of reach: 250m,M035143,MKL,6D,M351,MKL,6D,40,44,M351,44,MKL_M351_6D,4,4,6,6,3,1,4,1
M035144,M351,6E,DC-052306-48,DC05230648,3038,Big Creek Gender ID,Oncorhynchus,mykiss,62,3.4,,,,,,,5/23/06,,AC,7/9/09,,"Gender ID samples, Notes: M-R, T/S, Database number: 244",M035144,California,Monterey,Big Creek,,,Devil's Creek,,,,,,Running distance from bottom of reach: 275m,M035144,MKL,6E,M351,MKL,6E,52,45,M351,45,MKL_M351_6E,3,3,6,6,1,1,4,4
M035145,M351,6F,DC-052306-49,DC05230649,3038,Big Creek Gender ID,Oncorhynchus,mykiss,45,1.2,,,,,,,5/23/06,,AC,7/9/09,,"Gender ID samples, Notes: M-R, T/S, Database number: 245",M035145,California,Monterey,Big Creek,,,Devil's Creek,,,,,,Running distance from bottom of reach: 275m,M035145,MKL,6F,M351,MKL,6F,64,46,M351,46,MKL_M351_6F,4,4,7,6,3,1,4,1
M035146,M351,6G,DC-052306-55,DC05230655,3038,Big Creek Gender ID,Oncorhynchus,mykiss,108,15.5,,,,,,140738837,5/23/06,,AC,7/9/09,,"Gender ID samples, Notes: M-R, T/S, Database number: 1352",M035146,California,Monterey,Big Creek,,,Devil's Creek,,,,,,Running distance from bottom of reach: 275m,M035146,MKL,6G,M351,MKL,6G,76,47,M351,47,MKL_M351_6G,3,3,6,6,1,1,4,4
M035147,M351,6H,DC-052306-59,DC05230659,3038,Big Creek Gender ID,Oncorhynchus,mykiss,127,21,,,,,,140738831,5/23/06,,AC,7/9/09,,"Gender ID samples, Notes: M-R, T/S, Database number: 1346",M035147,California,Monterey,Big Creek,,,Devil's Creek,,,,,,Running distance from bottom of reach: 300m,M035147,MKL,6H,M351,MKL,6H,88,48,M351,48,MKL_M351_6H,4,4,6,6,3,1,1,1
M035148,M351,7A,DC-052306-60,DC05230660,3038,Big Creek Gender ID,Oncorhynchus,mykiss,164,51.3,,,,,,140738873,5/23/06,,AC,7/9/09,,"Gender ID samples, Notes: M-R, T/S, Database number: 1381",M035148,California,Monterey,Big Creek,,,Devil's Creek,,,,,,Running distance from bottom of reach: 300m,M035148,MKL,7A,M351,MLA+NTCs,3H,85,24,M351,49,MKL_M351_7A,4,4,6,6,3,1,1,1
M035149,M351,7B,DC-052306-64,DC05230664,3038,Big Creek Gender ID,Oncorhynchus,mykiss,123,21.2,,,,,,140738868,5/23/06,,AC,7/9/09,,"Gender ID samples, Notes: M-R, T/S, Database number: 68",M035149,California,Monterey,Big Creek,,,Devil's Creek,,,,,,Running distance from bottom of reach: 325m,M035149,MKL,7B,M351,MKL,7B,17,50,M351,50,MKL_M351_7B,4,4,6,6,3,1,4,1
M035150,M351,7C,DC-052306-65,DC05230665,3038,Big Creek Gender ID,Oncorhynchus,mykiss,140,32.3,,,,,,140738869,5/23/06,,AC,7/9/09,,"Gender ID samples, Notes: M-R, T/S, Database number: 1378",M035150,California,Monterey,Big Creek,,,Devil's Creek,,,,,,Running distance from bottom of reach: 325m,M035150,MKL,7C,M351,MKL,7C,29,51,M351,51,MKL_M351_7C,4,4,7,6,3,3,4,4
M035151,M351,7D,DC-052306-68,DC05230668,3038,Big Creek Gender ID,Oncorhynchus,mykiss,108,15.3,,,,,,140738867,5/23/06,,AC,7/9/09,,"Gender ID samples, Notes: M-R, T/S, Database number: 1377",M035151,California,Monterey,Big Creek,,,Devil's Creek,,,,,,Running distance from bottom of reach: 350m,M035151,MKL,7D,M351,MKL,7D,41,52,M351,52,MKL_M351_7D,3,4,6,6,3,3,0,0
M035152,M351,7E,DC-052306-70,DC05230670,3038,Big Creek Gender ID,Oncorhynchus,mykiss,160,45.7,,,,,,138619647,5/23/06,,AC,7/9/09,,"Gender ID samples, Notes: M-R, T/S, Database number: 316",M035152,California,Monterey,Big Creek,,,Devil's Creek,,,,,,Running distance from bottom of reach: 350m,M035152,MKL,7E,M351,MKL,7E,53,53,M351,53,MKL_M351_7E,4,4,7,6,1,1,4,4
M035153,M351,7F,DC-052306-71,DC05230671,3038,Big Creek Gender ID,Oncorhynchus,mykiss,203,107.3,,,,,,138619930,5/23/06,,AC,7/9/09,,"Gender ID samples, Notes: M-R, T/S, Database number: 393",M035153,California,Monterey,Big Creek,,,Devil's Creek,,,,,,Running distance from bottom of reach: 350m,M035153,MKL,7F,M351,MKL,7F,65,54,M351,54,MKL_M351_7F,4,4,7,6,3,3,4,1
M035154,M351,7G,DC-052306-72,DC05230672,3038,Big Creek Gender ID,Oncorhynchus,mykiss,188,88,,,,,,140738833,5/23/06,,AC,7/9/09,,"Gender ID samples, Notes: M-R, T/S, Database number: 1348",M035154,California,Monterey,Big Creek,,,Devil's Creek,,,,,,Running distance from bottom of reach: 350m,M035154,MKL,7G,M351,MKL,7G,77,55,M351,55,MKL_M351_7G,4,4,7,6,3,1,4,1
M035155,M351,7H,DC-052306-76,DC05230676,3038,Big Creek Gender ID,Oncorhynchus,mykiss,141,38.7,,,,,,140738283,5/23/06,,AC,7/9/09,,"Gender ID samples, Notes: M-R, T/S, Database number: 1127",M035155,California,Monterey,Big Creek,,,Devil's Creek,,,,,,Running distance from bottom of reach: 400m,M035155,MKL,7H,M351,MKL,7H,89,56,M351,56,MKL_M351_7H,4,4,7,6,3,3,4,4
M035156,M351,8A,DC-052306-77,DC05230677,3038,Big Creek Gender ID,Oncorhynchus,mykiss,132,28.7,,,,,,140738855,5/23/06,,AC,7/9/09,,"Gender ID samples, Notes: M-R, T, Database number: 1366",M035156,California,Monterey,Big Creek,,,Devil's Creek,,,,,,Running distance from bottom of reach: 400m,M035156,MKL,8A,M351,MKL,8A,6,57,M351,57,MKL_M351_8A,4,4,6,6,3,1,4,4
M035157,M351,8B,DC-052306-92,DC05230692,3038,Big Creek Gender ID,Oncorhynchus,mykiss,52,1.8,,,,,,,5/23/06,,AC,7/9/09,,"Gender ID samples, Notes: M-R, T/S, Database number: 254",M035157,California,Monterey,Big Creek,,,Devil's Creek,,,,,,Running distance from bottom of reach: 500m,M035157,MKL,8B,M351,MKL,8B,18,58,M351,58,MKL_M351_8B,4,4,7,6,3,1,4,1
M035158,M351,8C,DC-052306-96,DC05230696,3038,Big Creek Gender ID,Oncorhynchus,mykiss,150,40.6,,,,,,140738284,5/23/06,,AC,7/9/09,,"Gender ID samples, Notes: M-R, T/S, Database number: 1128",M035158,California,Monterey,Big Creek,,,Devil's Creek,,,,,,Running distance from bottom of reach: 525m,M035158,MKL,8C,M351,MKL,8C,30,59,M351,59,MKL_M351_8C,4,4,6,6,3,3,4,4
M035159,M351,8D,DC-052306-98,DC05230698,3038,Big Creek Gender ID,Oncorhynchus,mykiss,115,18.2,,,,,,140738834,5/23/06,,AC,7/9/09,,"Gender ID samples, Notes: M-R, T/S, Database number: 1349",M035159,California,Monterey,Big Creek,,,Devil's Creek,,,,,,Running distance from bottom of reach: 525m,M035159,MKL,8D,M351,MKL,8D,42,60,M351,60,MKL_M351_8D,3,4,6,6,1,1,4,1
M035160,M351,8E,DC-052306-101,DC052306101,3038,Big Creek Gender ID,Oncorhynchus,mykiss,123,25.2,,,,,,140738863,5/23/06,,AC,7/9/09,,"Gender ID samples, Notes: M-R, T/S, Database number: 1373",M035160,California,Monterey,Big Creek,,,Devil's Creek,,,,,,Running distance from bottom of reach: 550m,M035160,MKL,8E,M351,MKL,8E,54,61,M351,61,MKL_M351_8E,4,4,7,6,3,1,4,1
M035161,M351,8F,DC-052306-102,DC052306102,3038,Big Creek Gender ID,Oncorhynchus,mykiss,109,17.5,,,,,,140738785,5/23/06,,AC,7/9/09,,"Gender ID samples, Notes: M-R, T, Database number: 1303",M035161,California,Monterey,Big Creek,,,Devil's Creek,,,,,,Running distance from bottom of reach: 550m,M035161,MKL,8F,M351,MKL,8F,66,62,M351,62,MKL_M351_8F,4,4,7,6,0,0,4,1
M035162,M351,8G,DC-052306-107,DC052306107,3038,Big Creek Gender ID,Oncorhynchus,mykiss,115,17.6,,,,,,140738884,5/23/06,,AC,7/9/09,,"Gender ID samples, Notes: M-R, T/S, RECAP old tag #: 982009102357819, Database number: 132",M035162,California,Monterey,Big Creek,,,Devil's Creek,,,,,,Running distance from bottom of reach: 575m,M035162,MKL,8G,M351,MKL,8G,78,63,M351,63,MKL_M351_8G,3,4,7,6,3,1,4,1
M035163,M351,8H,DC-052306-109,DC052306109,3038,Big Creek Gender ID,Oncorhynchus,mykiss,125,27.4,,,,,,140738856,5/23/06,,AC,7/9/09,,"Gender ID samples, Notes: M-R, T/S, Database number: 6711",M035163,California,Monterey,Big Creek,,,Devil's Creek,,,,,,Running distance from bottom of reach: 600m,M035163,MKL,8H,M351,MKL,8H,90,64,M351,64,MKL_M351_8H,4,4,7,6,3,1,4,4
M035164,M351,9A,DC-052306-84,DC05230684,3038,Big Creek Gender ID,Oncorhynchus,mykiss,154,41.5,,,,,,138619928,5/23/06,,AC,7/9/09,,"Gender ID samples, Notes: M-R, T/S, Database number: 391",M035164,California,Monterey,Big Creek,,,Devil's Creek,,,,,,Running distance from bottom of reach: 450m,M035164,MKL,9A,M351,MKL,9A,7,65,M351,65,MKL_M351_9A,3,3,6,6,3,1,4,1
M035165,M351,9B,DC-052306-104,DC052306104,3038,Big Creek Gender ID,Oncorhynchus,mykiss,60,2.2,,,,,,,5/23/06,,AC,7/9/09,,"Gender ID samples, Notes: M-R, T, Database number: 260",M035165,California,Monterey,Big Creek,,,Devil's Creek,,,,,,Running distance from bottom of reach: 575m,M035165,MKL,9B,M351,MKL,9B,19,66,M351,66,MKL_M351_9B,4,4,7,6,3,1,1,1
M035166,M351,9C,DC-052306-110,DC052306110,3038,Big Creek Gender ID,Oncorhynchus,mykiss,130,27.8,,,,,,140738285,5/23/06,,AC,7/9/09,,"Gender ID samples, Notes: M-R, T/S, RECAP old tag #: 982009102355258, Database number: 123",M035166,California,Monterey,Big Creek,,,Devil's Creek,,,,,,Running distance from bottom of reach: 600,M035166,MKL,9C,M351,MKL,9C,31,67,M351,67,MKL_M351_9C,4,4,7,6,1,1,4,4
M035167,M351,9D,DC-052306-111,DC052306111,3038,Big Creek Gender ID,Oncorhynchus,mykiss,155,49.2,,,,,,140738735,5/23/06,,AC,7/9/09,,"Gender ID samples, Notes: M-R, T/S, Database number: 1281",M035167,California,Monterey,Big Creek,,,Devil's Creek,,,,,,Running distance from bottom of reach: 650,M035167,MKL,9D,M351,MKL,9D,43,68,M351,68,MKL_M351_9D,3,4,7,6,1,1,4,1
M035168,M351,9E,DC-052306-112,DC052306112,3038,Big Creek Gender ID,Oncorhynchus,mykiss,131,24.2,,,,,,140738861,5/23/06,,AC,7/9/09,,"Gender ID samples, Notes: M-R, T/S, Database number: 1371",M035168,California,Monterey,Big Creek,,,Devil's Creek,,,,,,Running distance from bottom of reach: 650,M035168,MKL,9E,M351,MKL,9E,55,69,M351,69,MKL_M351_9E,3,4,6,6,3,1,4,1
M035169,M351,9F,DC-052306-116,DC052306116,3038,Big Creek Gender ID,Oncorhynchus,mykiss,128,23.4,,,,,,140739489,5/23/06,,AC,7/9/09,,"Gender ID samples, Notes: M-R, T/S, Database number: 1492",M035169,California,Monterey,Big Creek,,,Devil's Creek,,,,,,Running distance from bottom of reach: 650,M035169,MKL,9F,M351,MKL,9F,67,70,M351,70,MKL_M351_9F,4,4,6,6,3,1,4,1
M035170,M351,9G,DC-052306-118,DC052306118,3038,Big Creek Gender ID,Oncorhynchus,mykiss,137,28.8,,,,,,140738878,5/23/06,,AC,7/9/09,,"Gender ID samples, Notes: M-R, T/S, Database number: 1386",M035170,California,Monterey,Big Creek,,,Devil's Creek,,,,,,Running distance from bottom of reach: 675,M035170,MKL,9G,M351,MKL,9G,79,71,M351,71,MKL_M351_9G,4,4,7,6,1,1,4,4
M035171,M351,9H,DC-052306-119,DC052306119,3038,Big Creek Gender ID,Oncorhynchus,mykiss,144,38.1,,,,,,140738877,5/23/06,,AC,7/9/09,,"Gender ID samples, Notes: M-R, T/S, Database number: 1385",M035171,California,Monterey,Big Creek,,,Devil's Creek,,,,,,Running distance from bottom of reach: 675,M035171,MKL,9H,M351,MKL,9H,91,72,M351,72,MKL_M351_9H,4,4,7,6,1,1,4,1
M035172,M351,10A,DC-052306-120,DC052306120,3038,Big Creek Gender ID,Oncorhynchus,mykiss,163,49.8,,,,,,140739490,5/23/06,,AC,7/9/09,,"Gender ID samples, Notes: M-R, T/S, Database number: 1493",M035172,California,Monterey,Big Creek,,,Devil's Creek,,,,,,Running distance from bottom of reach: 675,M035172,MKL,10A,M351,MKL,10A,8,73,M351,73,MKL_M351_10A,4,4,6,6,3,1,1,1
